IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
52.68.192.163,8449,TRUE,NRT,Asia Pacific,Tokyo,84 ms,13299 kB/s
20.78.15.203,43061,TRUE,NRT,Asia Pacific,Tokyo,102 ms,13062 kB/s
47.74.25.192,23333,TRUE,NRT,Asia Pacific,Tokyo,82 ms,12995 kB/s
18.180.249.33,10005,TRUE,NRT,Asia Pacific,Tokyo,79 ms,12809 kB/s
172.105.194.182,386,TRUE,NRT,Asia Pacific,Tokyo,81 ms,12721 kB/s
172.105.208.156,32225,TRUE,NRT,Asia Pacific,Tokyo,77 ms,12546 kB/s
45.66.130.58,51002,TRUE,NRT,Asia Pacific,Tokyo,79 ms,12476 kB/s
203.137.181.40,16072,TRUE,NRT,Asia Pacific,Tokyo,83 ms,12272 kB/s
57.180.137.238,54889,TRUE,NRT,Asia Pacific,Tokyo,81 ms,11648 kB/s
139.162.83.82,32225,TRUE,NRT,Asia Pacific,Tokyo,80 ms,11270 kB/s
45.66.217.145,50009,TRUE,NRT,Asia Pacific,Tokyo,143 ms,11197 kB/s
139.162.83.77,20205,TRUE,NRT,Asia Pacific,Tokyo,75 ms,10968 kB/s
150.230.192.48,29876,TRUE,NRT,Asia Pacific,Tokyo,181 ms,10883 kB/s
3.112.184.40,10010,TRUE,NRT,Asia Pacific,Tokyo,81 ms,10768 kB/s
13.114.81.83,10030,TRUE,NRT,Asia Pacific,Tokyo,83 ms,10713 kB/s
172.105.199.184,32225,TRUE,NRT,Asia Pacific,Tokyo,77 ms,10652 kB/s
13.113.113.240,10005,TRUE,NRT,Asia Pacific,Tokyo,82 ms,10643 kB/s
172.105.197.52,386,TRUE,NRT,Asia Pacific,Tokyo,83 ms,10377 kB/s
172.104.113.18,32225,TRUE,NRT,Asia Pacific,Tokyo,81 ms,10303 kB/s
45.66.128.215,51358,TRUE,NRT,Asia Pacific,Tokyo,84 ms,10146 kB/s
139.162.83.77,4399,TRUE,NRT,Asia Pacific,Tokyo,75 ms,10077 kB/s
121.84.129.206,10304,TRUE,KIX,Asia Pacific,Osaka,140 ms,9698 kB/s
172.105.199.184,4399,TRUE,NRT,Asia Pacific,Tokyo,80 ms,9660 kB/s
149.28.25.176,32225,TRUE,NRT,Asia Pacific,Tokyo,196 ms,9624 kB/s
172.105.208.156,386,TRUE,NRT,Asia Pacific,Tokyo,82 ms,9180 kB/s
139.162.83.82,12306,TRUE,NRT,Asia Pacific,Tokyo,78 ms,9140 kB/s
172.104.116.38,32225,TRUE,NRT,Asia Pacific,Tokyo,87 ms,9061 kB/s
172.104.113.112,20205,TRUE,NRT,Asia Pacific,Tokyo,83 ms,9051 kB/s
138.3.222.124,46209,TRUE,NRT,Asia Pacific,Tokyo,184 ms,9040 kB/s
139.162.83.82,486,TRUE,NRT,Asia Pacific,Tokyo,81 ms,8632 kB/s
133.232.218.169,12536,TRUE,NRT,Asia Pacific,Tokyo,217 ms,8382 kB/s
172.104.116.38,74,TRUE,NRT,Asia Pacific,Tokyo,81 ms,8118 kB/s
139.162.102.152,7002,TRUE,NRT,Asia Pacific,Tokyo,77 ms,8027 kB/s
139.162.83.190,486,TRUE,NRT,Asia Pacific,Tokyo,83 ms,7990 kB/s
46.51.228.54,10030,TRUE,NRT,Asia Pacific,Tokyo,78 ms,7715 kB/s
139.162.83.77,12306,TRUE,NRT,Asia Pacific,Tokyo,75 ms,7671 kB/s
152.70.111.197,33536,TRUE,NRT,Asia Pacific,Tokyo,177 ms,7385 kB/s
172.104.116.38,386,TRUE,NRT,Asia Pacific,Tokyo,81 ms,7383 kB/s
139.162.83.106,4399,TRUE,NRT,Asia Pacific,Tokyo,81 ms,7279 kB/s
139.162.83.77,74,TRUE,NRT,Asia Pacific,Tokyo,84 ms,6989 kB/s
139.162.83.190,12306,TRUE,NRT,Asia Pacific,Tokyo,76 ms,6398 kB/s
172.105.194.182,20205,TRUE,NRT,Asia Pacific,Tokyo,77 ms,6314 kB/s
57.181.148.76,10005,TRUE,NRT,Asia Pacific,Tokyo,84 ms,6281 kB/s
210.129.11.81,20004,TRUE,NRT,Asia Pacific,Tokyo,81 ms,6224 kB/s
132.145.126.40,32498,TRUE,NRT,Asia Pacific,Tokyo,184 ms,6107 kB/s
139.162.83.190,74,TRUE,NRT,Asia Pacific,Tokyo,80 ms,5984 kB/s
172.105.199.184,486,TRUE,NRT,Asia Pacific,Tokyo,78 ms,5936 kB/s
172.104.113.112,32225,TRUE,NRT,Asia Pacific,Tokyo,84 ms,5770 kB/s
158.101.146.3,44872,TRUE,NRT,Asia Pacific,Tokyo,202 ms,5696 kB/s
47.79.37.226,31794,TRUE,LAX,North America,Los Angeles,83 ms,5673 kB/s
158.101.139.31,7000,TRUE,NRT,Asia Pacific,Tokyo,183 ms,5666 kB/s
138.3.210.67,30032,TRUE,NRT,Asia Pacific,Tokyo,174 ms,5626 kB/s
138.3.217.167,587,TRUE,NRT,Asia Pacific,Tokyo,185 ms,5605 kB/s
158.101.146.3,31651,TRUE,NRT,Asia Pacific,Tokyo,195 ms,5597 kB/s
138.2.50.44,26614,TRUE,KIX,Asia Pacific,Osaka,295 ms,5594 kB/s
139.162.108.5,32225,TRUE,NRT,Asia Pacific,Tokyo,75 ms,5558 kB/s
52.69.102.187,10005,TRUE,NRT,Asia Pacific,Tokyo,82 ms,5530 kB/s
152.70.101.24,16098,TRUE,NRT,Asia Pacific,Tokyo,206 ms,5526 kB/s
132.145.114.230,12563,TRUE,NRT,Asia Pacific,Tokyo,182 ms,5417 kB/s
168.138.223.148,10037,TRUE,NRT,Asia Pacific,Tokyo,178 ms,5385 kB/s
172.105.208.156,74,TRUE,NRT,Asia Pacific,Tokyo,78 ms,5366 kB/s
138.2.39.24,12308,TRUE,KIX,Asia Pacific,Osaka,293 ms,5363 kB/s
168.138.197.147,12345,TRUE,NRT,Asia Pacific,Tokyo,78 ms,5346 kB/s
158.101.154.245,47001,TRUE,NRT,Asia Pacific,Tokyo,204 ms,5282 kB/s
152.70.101.24,16087,TRUE,NRT,Asia Pacific,Tokyo,191 ms,5266 kB/s
64.110.101.90,55007,TRUE,KIX,Asia Pacific,Osaka,213 ms,5234 kB/s
84.22.149.83,9443,TRUE,FRA,Europe,Frankfurt,261 ms,5223 kB/s
158.101.131.94,26502,TRUE,NRT,Asia Pacific,Tokyo,185 ms,5181 kB/s
152.70.101.24,16079,TRUE,NRT,Asia Pacific,Tokyo,204 ms,5164 kB/s
141.147.162.24,1235,TRUE,NRT,Asia Pacific,Tokyo,176 ms,5161 kB/s
140.238.62.82,1443,TRUE,NRT,Asia Pacific,Tokyo,185 ms,5148 kB/s
138.2.26.118,20020,TRUE,NRT,Asia Pacific,Tokyo,174 ms,5141 kB/s
64.110.106.255,627,TRUE,KIX,Asia Pacific,Osaka,298 ms,5132 kB/s
155.248.184.178,30011,TRUE,NRT,Asia Pacific,Tokyo,185 ms,5126 kB/s
158.101.89.113,58443,TRUE,NRT,Asia Pacific,Tokyo,181 ms,5119 kB/s
152.70.101.24,16080,TRUE,NRT,Asia Pacific,Tokyo,196 ms,5095 kB/s
139.162.108.5,20205,TRUE,NRT,Asia Pacific,Tokyo,78 ms,5062 kB/s
131.186.62.78,34237,TRUE,NRT,Asia Pacific,Tokyo,192 ms,5057 kB/s
152.70.101.24,16078,TRUE,NRT,Asia Pacific,Tokyo,209 ms,5038 kB/s
64.110.98.1,30000,TRUE,KIX,Asia Pacific,Osaka,204 ms,5034 kB/s
168.138.203.197,30011,TRUE,NRT,Asia Pacific,Tokyo,171 ms,5008 kB/s
132.145.124.236,32238,TRUE,NRT,Asia Pacific,Tokyo,180 ms,5008 kB/s
