IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
154.17.24.16,27010,TRUE,LAX,North America,Los Angeles,175 ms,10412 kB/s
68.167.5.50,25212,TRUE,LAX,North America,Los Angeles,197 ms,10410 kB/s
142.171.220.62,16002,TRUE,LAX,North America,Los Angeles,174 ms,10396 kB/s
23.106.155.30,12257,TRUE,LAX,North America,Los Angeles,175 ms,10376 kB/s
68.167.5.20,25212,TRUE,LAX,North America,Los Angeles,208 ms,10365 kB/s
143.20.106.42,25212,TRUE,LAX,North America,Los Angeles,208 ms,10364 kB/s
38.49.59.58,33136,TRUE,LAX,North America,Los Angeles,169 ms,10331 kB/s
142.171.220.62,16636,TRUE,LAX,North America,Los Angeles,174 ms,10326 kB/s
66.92.166.196,25212,TRUE,LAX,North America,Los Angeles,199 ms,10323 kB/s
142.171.220.62,16411,TRUE,LAX,North America,Los Angeles,176 ms,10304 kB/s
75.127.0.166,9443,TRUE,SJC,North America,San Jose,181 ms,10271 kB/s
143.20.106.50,25212,TRUE,LAX,North America,Los Angeles,202 ms,10210 kB/s
143.20.106.27,25212,TRUE,LAX,North America,Los Angeles,199 ms,10188 kB/s
143.20.106.11,25212,TRUE,LAX,North America,Los Angeles,201 ms,10168 kB/s
68.167.5.40,25212,TRUE,LAX,North America,Los Angeles,211 ms,10157 kB/s
68.167.5.37,25212,TRUE,LAX,North America,Los Angeles,212 ms,10143 kB/s
143.20.106.51,25212,TRUE,LAX,North America,Los Angeles,177 ms,10130 kB/s
66.92.166.223,25212,TRUE,LAX,North America,Los Angeles,207 ms,10114 kB/s
199.193.125.229,1777,TRUE,LAX,North America,Los Angeles,171 ms,10108 kB/s
68.167.5.28,25212,TRUE,LAX,North America,Los Angeles,206 ms,10089 kB/s
154.21.195.143,27017,TRUE,LAX,North America,Los Angeles,181 ms,10085 kB/s
38.79.114.49,587,TRUE,LAX,North America,Los Angeles,181 ms,10065 kB/s
68.167.5.43,25212,TRUE,LAX,North America,Los Angeles,178 ms,10049 kB/s
66.92.166.187,25212,TRUE,LAX,North America,Los Angeles,203 ms,10046 kB/s
68.167.5.14,25212,TRUE,LAX,North America,Los Angeles,206 ms,10038 kB/s
142.171.220.62,16668,TRUE,LAX,North America,Los Angeles,174 ms,9999 kB/s
143.20.106.100,25212,TRUE,LAX,North America,Los Angeles,200 ms,9978 kB/s
192.69.90.237,2321,TRUE,LAX,North America,Los Angeles,173 ms,9968 kB/s
143.20.106.76,25212,TRUE,LAX,North America,Los Angeles,177 ms,9948 kB/s
143.20.106.66,25212,TRUE,LAX,North America,Los Angeles,201 ms,9910 kB/s
143.20.106.88,25212,TRUE,LAX,North America,Los Angeles,203 ms,9890 kB/s
